Category,Total,Andorra,Argentina,Australia,Brazil,Bulgaria,Canada,Chile,China,Taiwan,Cyprus,Ethiopia,Finland,France,Georgia,Germany,Ghana,Guatemala,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Italy,Japan,Jordan,South Korea,Malaysia,Mali,Mexico,Moldova,Morocco,Netherlands,New Zealand,Norway,Peru,Poland,Romania,Russia,Rwanda,Viet Nam,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Ukraine,Egypt,United Kingdom,United States,Burkina Faso,Uruguay,Serbia and Montenegro,Zambia
Very important,34.8,50.9,40.1,44.8,27,27.6,40.7,47.2,11.4,34.4,50.8,47.3,42.6,37.6,39.3,29.7,52,59.1,23.6,33.4,23.6,22.5,35.9,31.2,31.1,40.3,36.1,24.1,39.3,34,54.9,20.8,23.7,55.6,48.2,48.8,32.3,29.8,26.1,29.3,44.3,7,43.2,37.1,43.5,53.6,37.5,25.9,51.5,47.2,29.6,13.3,45.4,37.3,19.7,42.4,40.4,33
Rather important,42.6,43.5,42.4,45.7,57.2,39.9,47.7,37.9,38.9,49.8,34.7,33.9,50.5,49.1,44.3,53.1,30.2,29.8,62.5,49.3,36.1,39.6,42.3,38.5,54.6,49.8,39.3,60.9,47.3,31.2,29.4,46.2,29.1,39.9,39.3,45.9,34.5,52.9,42.8,46.6,50.7,41.9,43,39.2,46.3,41.7,53.4,46.5,30.8,40.1,48,40.4,43.3,51.1,34.7,45.1,42.6,26.9
Not very important,17.3,5.3,14.6,6.9,12.8,25.8,10.2,11.9,39.5,14.6,11.4,16.9,5.7,11.1,12.3,13.8,14.3,9.7,12.7,14.8,24.2,33.1,17.9,18.4,12.5,6.6,18.1,13.8,12.2,21.8,12.7,27.6,28.5,4,8.1,5.3,27.1,13.5,22.5,18.4,4.4,46.2,11.7,17.3,8.9,4.5,8,24.5,15.5,10.3,15.7,35.1,9.7,9.9,28.4,8.7,14.3,25.2
Not at all important,3.8,0.3,1.8,0.3,2.5,4.7,1,2.2,3.7,1.3,2.3,1.5,0.4,2,3.2,2.4,2.2,1.3,0.3,2.3,12.6,3,3.3,7.5,0.7,0.5,6.2,1.2,1,7.8,2.1,4.6,15.8,0.3,0.7,0,4,1.7,4.9,3.7,0.2,4.1,1.6,6,1,0.3,0.9,2.5,2.1,2.3,5.2,11,0.5,0.8,12.5,2.7,1.7,11.8
"Missing, Not asked by the interviewer",0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0.3,0.1,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0.2,0,0.3,0,0,0.2,0,0.1,0,0,0.1,0,0,0.8,0,0.8,0,0,0
No answer,0.7,0,0.6,2.2,0.4,0,0.3,0.5,0.8,0,0.8,0.3,0,0,0.3,0.5,0.5,0,0,0,0,1.1,0.6,1.5,0.7,2.7,0.4,0.1,0.2,4.2,0.4,0,2.9,0,3.5,0,2.1,0,2.2,0.5,0.1,0.1,0.2,0,0,0,0.1,0.6,0,0,0.4,0.1,0.1,0.8,1.8,1.1,0,2.5
Don´t know,0.7,0,0.4,0,0.1,2,0.1,0.3,5.8,0,0,0.1,0.3,0,0.6,0.2,0.7,0.1,0.8,0,3.4,0.6,0,2.9,0.3,0,0,0,0,0.8,0.6,0.8,0,0.1,0.2,0.1,0,2.1,1.4,1.3,0.3,0.3,0.3,0.5,0.1,0,0,0,0,0,1.1,0.1,0.3,0,2.2,0,0.9,0.5
(N),80.95,1.003,1.002,1.421,1.5,1.001,2.164,1,1.991,1.227,1.05,1.5,1.014,1.001,1.5,2.064,1.534,1,1.252,1.007,2.001,2.015,2.667,2.701,1.012,1.096,1.2,1.2,1.201,1.534,1.56,1.046,1.2,1.05,954,1.025,1.5,1,1.776,2.033,1.507,1.495,1.037,2.988,1.2,1.003,1.241,1.534,1.002,1.346,1,3.051,1.041,1.249,1.534,1,1.22,1.5
