Category,Total,Andorra,Argentina,Australia,Brazil,Bulgaria,Canada,Chile,China,Taiwan,Cyprus,Ethiopia,Finland,France,Georgia,Germany,Ghana,Guatemala,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Italy,Japan,Jordan,South Korea,Malaysia,Mali,Mexico,Moldova,Morocco,Netherlands,New Zealand,Norway,Peru,Poland,Romania,Russia,Rwanda,Viet Nam,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Ukraine,Egypt,United Kingdom,United States,Burkina Faso,Uruguay,Serbia and Montenegro,Zambia
Very important,47.8,7.9,33.1,19.2,50.5,18.4,31.8,39.6,5,12.4,53.5,80.5,17.6,13,79.5,11,89.9,83.6,5.1,17.1,49.7,94,78.2,95.6,34,5.7,94.4,21.1,80.4,88.1,58.7,31.7,90.5,12,16.6,10.5,49.1,47.2,57,13.1,38.8,7.1,15.1,69.9,14.8,9.3,17.2,56,76.6,74.6,17.6,95.4,20.7,47,82.8,22.6,25.3,75.6
Rather important,22,21.2,31.6,19.4,40.4,31,26.9,33.3,11.2,39.3,26.9,13.1,27.4,27.8,16.9,22.2,7.4,12,22,20.6,28.3,4,16.1,3.3,41.2,11.6,5.2,25.8,15.5,8.4,26,41.1,7.9,18.2,17.7,22.2,26.5,38.5,32,33.4,56.8,25.3,27.2,20.1,24.1,19.9,28.2,37.7,12.9,16.6,37.4,4.1,19.4,24.1,12,23,40.2,16.3
Not very important,17.1,31.2,23.7,30.9,6.2,31.3,25.2,18.2,24.1,35.8,12,3.8,40.4,30.6,1.9,28.4,1.7,3.3,60.4,28.7,13.4,0.9,3.9,0.4,16.8,31.7,0.2,34.5,3.3,0.8,11.4,20.4,1.2,27.3,29.5,41.3,18.7,10.3,7,31,4.1,47.1,30.6,6.5,31,40.7,31.6,5.3,7.9,6.2,26.7,0.2,33.4,19.5,2.7,27.5,26.4,4.5
Not at all important,11.3,39.4,10.5,28.9,2.7,16.5,15.5,8.1,34.5,12.5,6.6,2,14.2,28.3,0.9,36.2,0.4,1.1,9.8,33.3,5.3,0.3,1.5,0.2,6.7,39.7,0.2,18.6,0.7,0.3,3.4,6.6,0.2,38.7,32.2,26,4.7,2.7,2.4,17.9,0.1,19.4,25.7,3,29.7,29.6,22.7,0.4,2.3,2.5,14.6,0.2,25,8.7,0.7,25.9,6.5,1.2
"Missing, Not asked by the interviewer",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.2,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2.6,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.4,0,0.1,0,0,0.1
No answer,0.6,0.2,0.9,1.6,0.1,0,0.3,0.5,0.8,0,1.1,0.5,0.1,0,0.3,0.5,0.5,0,0,0,0,0.6,0.3,0.2,0.7,11.3,0.1,0,0.1,2.1,0.4,0,0.1,0.7,2.8,0,1,0,1.5,0.8,0.2,0.1,1,0,0.3,0.5,0.2,0.5,0.2,0.1,0.6,0,0.5,0.7,1,1,0.2,2.1
Don´t know,1.1,0.1,0.1,0,0,2.8,0.2,0.3,24.3,0,0,0,0.3,0.2,0.5,0.5,0,0.1,2.7,0.1,3.3,0.1,0,0.3,0.6,0,0,0,0,0.2,0.1,0.2,0,0.4,1.3,0,0,1.2,0.1,3.8,0,1,0.4,0.5,0.2,0,0.1,0,0.1,0.1,3.1,0,0.6,0,0.7,0,1.4,0.3
(N),80.95,1.003,1.002,1.421,1.5,1.001,2.164,1,1.991,1.227,1.05,1.5,1.014,1.001,1.5,2.064,1.534,1,1.252,1.007,2.001,2.015,2.667,2.701,1.012,1.096,1.2,1.2,1.201,1.534,1.56,1.046,1.2,1.05,954,1.025,1.5,1,1.776,2.033,1.507,1.495,1.037,2.988,1.2,1.003,1.241,1.534,1.002,1.346,1,3.051,1.041,1.249,1.534,1,1.22,1.5
