Category,Total,Andorra,Argentina,Australia,Brazil,Bulgaria,Canada,Chile,China,Taiwan,Cyprus,Ethiopia,Finland,France,Georgia,Germany,Ghana,Guatemala,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Italy,Japan,Jordan,South Korea,Malaysia,Mali,Mexico,Moldova,Morocco,Netherlands,New Zealand,Norway,Peru,Poland,Romania,Russia,Rwanda,Viet Nam,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Ukraine,Egypt,United Kingdom,United States,Burkina Faso,Uruguay,Serbia and Montenegro,Zambia
Very important,62.1,46,70.4,34.5,65.3,49.7,48.2,62.3,43.7,62.7,55.1,89.3,40.1,62.2,77.9,49.6,92.7,95.1,26.1,55.1,67.9,85.3,76.5,82.2,60.9,47.4,66.7,61.9,70.4,85.3,84.9,43.4,85.6,30.9,34.6,52.8,71.2,61,53.5,48.4,63.7,40.8,47,77.4,51.9,53.2,52.3,57,83.3,56,39.1,63.1,35.5,32.2,89.2,69.4,59.9,75.7
Rather important,27.6,46.5,25.7,45.4,33.4,29.5,37.4,28.4,41.8,27.3,32.5,8.7,44.7,30.7,13.3,30.2,5,4.2,56.2,31.2,25,10.7,16.8,11.5,33.9,37.5,20.1,29.1,23.5,9.1,12.6,46.7,11.2,45.7,47.7,39.7,23.5,25.9,34.9,31.2,35,47.6,45.1,14.5,35.8,38.7,39.6,34.4,10.1,30.5,38.7,21.8,35.3,47,8,22.6,29.3,16.3
Not very important,6,5.9,2.2,8.4,0.9,10,8.9,5.7,7.5,6.2,8.5,0.6,8.6,2.6,5.4,10.2,1.3,0.5,14.3,8.6,3.9,2.4,4.7,2.8,2.7,9.9,7.8,7.2,4.5,1.5,1.3,8.3,2,11,7.2,4.5,3.9,5.6,6.2,11.8,0.8,10.1,5,3.5,6.2,3.9,4.7,7,4.6,8.4,13.2,11.5,10.5,12.9,0.9,4,7.4,4.3
Not at all important,2.7,0.5,1.2,6.7,0.2,7.4,4.6,2.4,1.4,3.8,3.1,1.1,2.8,0.9,3,5.1,0,0.1,1.8,4.6,1.5,0.3,1.5,1.8,0.9,1.5,5.1,1.7,1.4,0.6,0.6,1.4,0.9,6.9,4.3,2.8,0.8,5.6,2.8,6.1,0.1,0.7,2.4,2.9,5.5,3.8,2.1,0.9,1.7,4.8,7.8,3.6,9.7,6.8,0.4,1.9,1.8,1.1
"Missing, Not asked by the interviewer",0.4,0,0,0,0,0,0,0,0,0,0,0,3.4,3.7,0,4.4,0.3,0,0,0.3,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,4.8,0,0,0,0,0,0.3,0.1,0.6,0,0,0.2,0,0.7,0,0,0.1,0,0,8.7,0,0.1,0,0,0.2
No answer,0.7,1,0.3,4.9,0.2,0.1,0.2,0.9,0.7,0,0.7,0.4,0.2,0,0.1,0.2,0.7,0,0,0,0,0.6,0.4,0.6,1.5,3.7,0.4,0,0.2,3.2,0.4,0,0.2,0.4,5.8,0,0.6,0,1.9,0.3,0.4,0,0.2,0,0.4,0.3,0.4,0.7,0.1,0,0.1,0,0.2,1.1,1,2.1,0.4,1.8
Don´t know,0.6,0,0.2,0,0,3.3,0.7,0.2,5,0,0,0,0.3,0,0.3,0.3,0.1,0.1,1.6,0.2,1.7,0.4,0,1.1,0.2,0,0,0,0,0.2,0.1,0.2,0,0.4,0.4,0.2,0,1.8,0.7,2,0,0.1,0.3,1.7,0.1,0,0.2,0,0.1,0.1,1.1,0,0.1,0,0.4,0,1.1,0.5
(N),80.95,1.003,1.002,1.421,1.5,1.001,2.164,1,1.991,1.227,1.05,1.5,1.014,1.001,1.5,2.064,1.534,1,1.252,1.007,2.001,2.015,2.667,2.701,1.012,1.096,1.2,1.2,1.201,1.534,1.56,1.046,1.2,1.05,954,1.025,1.5,1,1.776,2.033,1.507,1.495,1.037,2.988,1.2,1.003,1.241,1.534,1.002,1.346,1,3.051,1.041,1.249,1.534,1,1.22,1.5
