Category,Total,Andorra,Argentina,Australia,Brazil,Bulgaria,Canada,Chile,China,Taiwan,Cyprus,Ethiopia,Finland,France,Georgia,Germany,Ghana,Guatemala,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Italy,Japan,Jordan,South Korea,Malaysia,Mali,Mexico,Moldova,Morocco,Netherlands,New Zealand,Norway,Peru,Poland,Romania,Russia,Rwanda,Viet Nam,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Ukraine,Egypt,United Kingdom,United States,Burkina Faso,Uruguay,Serbia and Montenegro,Zambia
Very important,90,86.7,91.4,93.7,86.4,89.4,92.4,90.2,78.1,91.7,93.3,92.7,86.7,86.2,98.7,81.5,94.4,98.4,55.4,86.4,90.1,97.4,93.7,95.9,93,91.3,96.8,92.3,96.2,91.5,94.9,83.1,96,80,93.3,90,81.4,93.6,85,89,63.2,81.2,88.7,95.6,88.9,92.1,85.5,86,95.6,97.7,86.8,97.7,93.3,94.2,94.7,89.3,93.2,90.9
Rather important,8.6,12.8,7.5,4.6,13.1,9,6.7,8.7,19.3,7.5,5.8,5.5,10.9,11.3,0.9,15,3.8,1.4,41.5,10.2,8.5,1.8,5.2,3.6,6.2,6.2,2.6,7.5,3.8,5.9,4.1,15.6,3.4,14,5.5,9.1,16.7,5.4,12.3,8.8,34.9,18.4,8.9,3.5,9.9,6.8,12.7,13,3.2,2.1,10.7,2.1,5,4.9,4.4,10,5.7,6.9
Not very important,0.8,0.3,0.7,1,0.2,1,0.5,0.6,1.4,0.6,0.5,1.2,1.3,1.9,0.1,2.7,1.4,0.1,2.3,1.1,0.8,0.1,0.7,0.1,0.4,0.9,0.4,0.2,0,1,0.4,1,0.6,3.6,1,0.8,1.7,0.4,0.7,1.1,1.5,0.3,1.3,0.5,0.9,0.7,1.7,0.6,0.7,0.1,1.4,0.2,1,0.5,0.6,0.3,0.3,1.3
Not at all important,0.2,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.1,0.2,0.3,0.6,0.2,0.4,0.1,0.4,0.3,0.1,0.2,2.3,0,0,0.3,0.1,0.1,0.1,0.2,0,0,0.1,0.3,0.3,0,1.2,0,0,0.1,0.3,0.3,0.2,0,0,0.8,0.3,0.1,0.3,0.1,0.1,0.3,0.1,0.1,0,0.4,0,0.1,0.3,0.2,0.2
"Missing, Not asked by the interviewer",0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0.2,0,0,0,0,0
No answer,0.2,0,0.1,0.5,0,0,0.2,0,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0.3,0.1,0.1,0.3,1.5,0,0,0,1.3,0.1,0,0,0.1,0.2,0,0.1,0,1.2,0.1,0.1,0.1,0.3,0,0,0.1,0,0.3,0.2,0,0.3,0,0.1,0.4,0.1,0.1,0,0.6
Don´t know,0.1,0,0.1,0,0,0.3,0.2,0.2,1,0,0,0,0,0,0.1,0.2,0,0,0.7,0,0.5,0.3,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0.3,0.5,0.7,0.3,0,0.1,0,0.2,0,0,0,0,0,0.8,0,0,0,0.1,0,0.6,0.1
(N),80.95,1.003,1.002,1.421,1.5,1.001,2.164,1,1.991,1.227,1.05,1.5,1.014,1.001,1.5,2.064,1.534,1,1.252,1.007,2.001,2.015,2.667,2.701,1.012,1.096,1.2,1.2,1.201,1.534,1.56,1.046,1.2,1.05,954,1.025,1.5,1,1.776,2.033,1.507,1.495,1.037,2.988,1.2,1.003,1.241,1.534,1.002,1.346,1,3.051,1.041,1.249,1.534,1,1.22,1.5
