Category,Total,Andorra,Argentina,Australia,Brazil,Bulgaria,Canada,Chile,China,Taiwan,Cyprus,Ethiopia,Finland,France,Georgia,Germany,Ghana,Guatemala,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Italy,Japan,Jordan,South Korea,Malaysia,Mali,Mexico,Moldova,Morocco,Netherlands,New Zealand,Norway,Peru,Poland,Romania,Russia,Rwanda,Viet Nam,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Ukraine,Egypt,United Kingdom,United States,Burkina Faso,Uruguay,Serbia and Montenegro,Zambia
Very important,47.2,48.8,59.4,57.6,37.1,42.2,63.1,23.6,30.3,39.5,61.6,78.9,62.2,58.7,78.1,52.4,42.8,43.9,33.1,41.4,42.3,56.4,29.4,59.7,47,44.9,62.8,44.5,43.3,57,36.1,23.1,52.2,57.6,54.9,65,21.9,34.7,24.1,37.4,49.2,22.1,51.1,33.9,49.3,71.3,58.9,33.1,40.2,61.8,37.5,43.2,68.8,59.6,55.2,51.5,55.2,47.6
Rather important,40.5,43.4,25.9,36.2,50.4,42.4,32.5,35.8,52.6,52.8,30.4,18.2,35.7,33.3,20,41.6,32.1,39.9,62.6,39.3,41.1,36.9,51.3,30.4,45.9,47.9,29.3,49.3,50.4,33.6,42.4,52.5,32.9,38.5,37.9,33.2,30.7,58,46.7,51.1,49.6,62.4,39,39.4,44.8,26.7,37.3,51.5,33.3,35.5,46,46.7,27.7,35.3,35.4,33,39.3,39.9
Not very important,9.9,6.9,11.8,4.7,10.4,13.5,4.3,29.4,12.7,7.4,6.5,2.2,1.9,6.8,1.5,5.2,19.4,14.2,3.9,15.3,11.5,5.5,15.9,6.3,5.9,5.3,5.8,6.1,5.8,6.5,17.1,21.7,11.3,3.5,4.1,1.8,43.4,6.6,22.6,8.7,0.7,15.3,8.9,17.8,5.1,1.9,3.5,14.7,23.9,1.9,12.7,8.3,2.8,4.2,7.7,10.8,4.4,9.3
Not at all important,1.7,0.7,2.3,0.1,1.8,0.5,0,10.4,0.5,0.3,0.6,0.7,0,1.1,0.2,0.3,4.7,1.9,0.1,3.9,2.8,0,3,1.7,0.6,0.2,1.8,0.1,0.2,0.7,3.9,2.5,3.4,0.3,0.4,0,3.3,0.4,4,1.3,0,0.1,0.8,8.7,0.6,0.1,0.2,0.7,2.3,0.8,2.8,1.8,0.6,0.6,1.2,4,0.3,1.6
"Missing, Not asked by the interviewer",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.7,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.1
No answer,0.4,0.1,0.3,1.3,0.3,0,0,0.4,0.3,0,0.8,0,0,0,0,0.2,0.3,0,0,0,0,0.8,0.4,1.1,0.4,1.7,0.2,0,0.3,2,0.3,0,0.1,0,2.5,0,0.7,0,1.5,0.5,0.5,0,0.2,0,0,0,0,0.1,0.2,0,0.4,0.1,0,0.3,0.3,0.7,0,1.3
Don´t know,0.3,0.1,0.2,0,0.1,1.3,0,0.3,3.5,0,0,0.1,0,0,0.3,0.1,0.1,0,0.2,0,2.2,0.3,0,0.9,0.1,0,0,0,0,0.2,0.2,0.2,0,0,0.1,0.1,0,0.3,1.1,0.9,0.1,0.1,0.1,0.2,0,0,0,0,0.1,0,0.7,0,0,0,0.1,0,0.7,0.2
(N),80.95,1.003,1.002,1.421,1.5,1.001,2.164,1,1.991,1.227,1.05,1.5,1.014,1.001,1.5,2.064,1.534,1,1.252,1.007,2.001,2.015,2.667,2.701,1.012,1.096,1.2,1.2,1.201,1.534,1.56,1.046,1.2,1.05,954,1.025,1.5,1,1.776,2.033,1.507,1.495,1.037,2.988,1.2,1.003,1.241,1.534,1.002,1.346,1,3.051,1.041,1.249,1.534,1,1.22,1.5
