Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Very important,87.6,95.8,84.7,86.6,90.2,94.2,86,87.9,83.8,88.8,76.5,77.7,86,85.2,90.8,85.1,96.6,77.7,80.4,94.6,78.4,89.4,90.8,89.8,90.1,67.8,73.2,74.3,79,92.6,97.5,87.8,80.8,87.4,95.8,89.7,92.6,88.6,83.7,90.9,82,93.1,81.8,90.2,80.9,96.6,85.7,97.5,95.2,91.3,97.9,88.6,88.3,96.8
Rather important,10.6,3.2,13.2,12.1,8,5,12,10.2,13.2,8.9,22,20.6,13.5,12.2,7.2,14.4,2.5,19.5,15.9,4.3,18.3,8.2,7.9,8.3,9.1,25.4,23,22.1,18.1,5.7,2.1,10.6,14.6,11.1,4,9.5,7,8.9,12.6,8.2,14.5,4.7,17.3,8.2,16.2,3,11.3,1.8,4,7.1,1.6,9.5,11.2,3
Not very important,1.2,0.3,1.4,1.3,1.4,0.5,1.2,0.9,2,1.1,1.2,0.9,0.4,2.3,1.5,0,0.5,2.1,2.1,0.5,2.6,1.2,0.9,0.7,0.4,4.9,2.5,3,2.2,0.7,0.2,1.6,3.7,1.2,0.1,0.2,0.2,2,2.6,0.7,1.8,1.7,0.5,1.4,2.5,0.2,1.4,0.2,0.6,1,0,1.4,0.4,0.1
Not at all important,0.3,0.2,0.1,0.1,0.4,0.1,0.4,0.3,0.2,0.1,0.1,0.4,0,0.2,0.2,0,0.2,0.2,0.4,0.4,0.5,1.1,0.1,0.2,0,1.5,0.3,0.3,0.6,0.1,0,0.1,0.6,0,0.1,0.2,0.2,0.2,0.7,0.1,1.1,0.4,0.3,0.2,0.3,0.1,0.5,0,0.1,0.5,0.4,0.2,0,0.1
NA,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,0.3,0.5,0.5,0,0,0.1,0.4,0.7,0.8,1.1,0.3,0.3,0,0.2,0,0.5,0.2,0.6,1.1,0.1,0.1,0.2,0.2,0.9,0.3,0.3,1,0.3,0.1,0.1,0.1,0,0.3,0.2,0,0.5,0,0.2,0.4,0.1,0.6,0.1,0.1,0,0.1,0,1.1,0.5,0,0.2,0.1,0.3,0,0
(N),75.182,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,6.025,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.542,1,1.2,1.28,240,800
