Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United Kingdom,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Very happy,23.8,3.1,11,28.8,42.8,18,6,9,4.2,27,22.7,29.7,47.1,8.4,8.9,31.9,55.6,4.6,23.7,11.6,17.9,13.5,29.9,32.5,11.9,4.4,4.1,31.5,3.6,32.8,46.2,29.9,27.9,28.2,40.2,18.3,42.9,5.1,6.1,6.6,13.4,35.3,18.7,39.2,39.8,51,4.9,13.4,32.4,46.3,20.6,54.4,13.9,13.8,15
Quite happy,51.4,30.3,65.6,52.8,51.5,66.8,48.8,46.5,40.7,52.7,60.9,60.9,37.2,61,73.8,40.5,36.4,59.1,67.5,53.6,62.6,63.8,46,56.5,76.9,64.4,50.6,38.1,39.8,61.5,38.1,64.4,51.2,34.7,52.2,67,47.9,51,44.1,64.8,60.4,37.1,67.8,54.7,54.5,37.3,40.9,48.9,58.2,47.5,58.8,38.2,56,55.4,64.1
Not very happy,20.2,52.5,20.2,14.9,4.4,13.2,34.2,32.7,42.8,19.2,14.1,7.3,14.7,26.3,14.2,24.9,6.7,29.5,6.5,29.1,15.3,17.7,19.8,8.9,10.1,24.2,36,26.3,47.7,4.3,12.4,4.8,16.9,35.1,6.3,11.5,7.8,35.2,40.3,24.3,22.5,21.7,12.2,4.1,4.7,9.4,40.9,32.6,6.8,5.3,17.6,5.8,24.5,27.5,18.6
Not at all happy,3.3,10.9,1.3,2.4,1,1.7,7.4,8.7,8.8,0.7,1.7,1.5,1,3.3,2.1,1,1.1,5.1,1.1,5.2,3,3.8,2.8,0.6,1,3.3,4.9,2.6,7.8,0.6,2.9,0.7,4,1.2,1.1,2.5,1,7.1,7.6,3.7,2.8,5.6,0.9,0.8,0.6,2.1,8.4,3.4,2.4,0.5,2.4,0.7,4.5,1.7,1.5
NA,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,1.2,3.2,1.9,1.1,0.3,0.4,3.6,3.1,3.4,0.4,0.6,0.3,0,1.1,0,1.7,0.2,1.8,1.2,0.4,1.2,1.1,1.5,1.4,0.1,3.7,4.5,1.5,1.1,0.1,0.1,0.2,0,0.8,0.1,0.7,0.3,1.6,1.9,0.6,0.9,0.3,0.3,1.2,0.4,0.1,4.8,1.7,0.2,0.4,0.6,0.8,1.1,1.7,0.8
(N),73.246,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,2.996,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.093,1.542,1,1.2,1.28,240,800
