Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Very important,32.1,11.8,30,26.4,44.4,11.1,23,20.9,28.7,42,10.7,25.8,39.7,33,26.2,29.7,61.8,21.3,34.7,36.2,31.8,33.5,11.1,39.8,22.7,19.7,18.4,35.5,22.3,45,50.4,39,12.5,28.5,14.2,23,47.1,27,25.8,25.6,33.3,31.5,30.2,51.4,45.2,40.1,24.8,45.5,42.3,46.4,60.4,25.9,25.4,47.1
Rather important,44.1,33.1,51.7,49.3,44.4,47.5,47.4,38,44.4,43.6,43.9,51.8,48.5,42.5,48,37.2,26.7,53.7,55.6,44.8,54.9,41.4,24.9,49.1,62.8,44.8,54.2,36.5,45.9,43.5,32.2,52.4,26.5,38,41.4,54.9,41.3,45.4,44.5,55,44.4,39.7,52,43,43,38.3,44.3,32.9,45.7,41.3,26.4,45.6,46.2,41.4
Not very important,18.3,36.1,16.2,20,9.8,35.5,22.4,30.2,19.6,10.7,36.6,20.8,10.8,19.8,22,22.8,9.1,20.4,7.5,14.1,11.6,21.1,40.1,8.8,12.4,26.8,23.2,23,22.8,6.6,13.8,7.6,34,25.9,35.6,16.7,10.3,21.1,24.4,16.6,19.1,19.6,15.4,4.4,9.4,16.6,19.7,12.6,10.7,9,10,24.2,24.2,8.5
Not at all important,3.9,15.5,1.5,3.3,0.6,5,4.7,6.4,3.7,1.8,6,1,0.8,3.1,3.1,5,1.6,3.1,0.8,4.3,0.7,3.8,21.9,0.6,1.3,6.1,2.3,3.6,7.3,0.7,2.5,1.1,21.8,4.3,8.5,2.4,0.9,5.1,3.8,1.7,2.7,7.7,1.4,0.7,1.1,3.3,5.8,1.6,0.8,1.5,2.7,3,2.5,1.9
NA,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,1.6,3.4,0.5,0.9,0.8,0.9,2.4,4.5,3.5,2,2.9,0.6,0.2,1.6,0,5.3,0.8,1.6,1.4,0.6,0.9,0.2,2,1.7,0.6,2.7,1.9,1.4,1.7,0.1,1.1,0,5.2,3.3,0.2,3,0.3,1.4,1.6,1.1,0.6,1.5,1,0.5,1.3,1.6,5.4,7.4,0.5,1.8,0.5,1.2,1.7,1.1
(N),75.182,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,6.025,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.542,1,1.2,1.28,240,800
