Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Very important,37,24.2,29.5,34.9,23.1,82.2,25,14.8,20,41.8,3.9,12.6,49,25.7,9,49.6,86.5,7.9,13.3,49.3,10.8,21.5,48.2,6.4,19.8,12.2,13.1,45.4,30.5,19,91.5,12.1,80.5,53.3,78.3,46.4,71.2,37.5,14,23.7,16.3,67.8,25.2,9.5,14.3,83.3,19.1,33.8,55.9,22.8,61.1,25.3,23.8,39.8
Rather important,27.2,34.5,52.5,31.1,24.6,16.1,36.8,25.7,31,31.3,10.3,35.1,38.7,29.8,14,32.1,8.2,19.4,31.5,34.1,16.2,20.6,29.5,14.9,30.8,23.5,39.2,33.2,36,19.2,6.7,26.1,14.1,28.4,19.5,36.3,21.6,37.6,25.9,30.5,26.7,22.1,32.5,19.7,26.4,10.2,29.7,29.2,26.2,26.1,23.9,28.8,27.5,35.8
Not very important,20.5,28.2,13.2,21.3,32.2,1,22.6,30.6,25.2,19,30.8,44.7,10.5,28,27.6,11.5,2.6,37.5,37.1,10.8,30.2,29.2,13.9,38.3,32.6,32.8,30.9,17.1,22.8,26.4,1.3,41.1,5.3,12.9,1.8,13,4.1,17.8,34.8,24.2,34.2,7,27.8,42.6,32.3,4.1,24.4,20.6,12.4,30.3,9.2,29.1,32.5,15.6
Not at all important,13,10.7,3.3,11.8,19.2,0.5,9.6,24.3,15.4,5.6,44,6,1.5,15.6,46.4,3.4,2.2,32.7,17.3,5.6,41.7,28.5,7,31.7,15.7,27.1,14,3,10,30.2,0.2,20.7,0.1,2.2,0.2,3.2,2.7,4.8,22.5,19.3,21.8,2.5,13.9,27.2,24.6,2.4,18,12.3,5.2,19.3,5.6,14,13.3,8.2
NA,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,2.1,2.3,1.4,0.9,0.8,0.2,6,4.5,8.4,2.2,11.1,1.5,0.3,0.9,0,3.4,0.5,2.4,0.8,0.2,1.1,0.2,1.4,8.7,1,4.3,2.8,1.3,0.8,1.3,0.3,0.1,0,3.2,0.2,1,0.3,2.2,2.8,2.4,1,0.5,0.7,1,2.4,0,8.7,4.1,0.4,1.5,0.2,2.8,2.9,0.6
(N),75.182,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,6.025,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.542,1,1.2,1.28,240,800
