Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Very important,11.2,3.7,9.6,10.1,15,13.4,14,6.9,9.8,6.9,23.7,10.9,9.4,5.9,3.2,15.6,17,4.6,3.1,13.2,10.9,6.6,10.9,18.3,19.2,5.1,3.9,17.2,6.6,7,21.4,6,7.7,13.1,14.6,6.9,12.9,6.9,8.1,3.7,2.9,18.7,7.8,11,6.4,24.2,6.4,9.8,17.8,13.8,12.7,7.3,4.6,14.1
Rather important,26,18.3,27.3,20.5,34.4,35.2,35,17.8,30.5,13,35.3,31,22.7,20.2,22.3,21.3,19.2,23.4,16.2,33.3,39.7,20.5,21.8,42.8,45.6,20.9,24.2,27.3,21.1,34.7,21.4,38.9,12.4,22.7,34,23.2,22.5,17.6,19.5,24.4,11.9,25.3,15.3,36.2,31.4,27.4,21.9,21.4,40.4,21.7,14.3,16.6,23.8,34.2
Not very important,36.8,39.9,41.6,31.7,35.8,36.7,31.7,41.1,35,35,27.4,42.4,50.2,39.9,44.7,39.1,21.1,46.4,50.4,25.7,39,37.7,33.5,29.3,28.2,42.8,47.8,35.4,42.7,41.1,31.3,45.1,19,36.4,31.1,37.4,38.8,37.3,42.7,45.2,47.2,26.4,32.1,41,41.9,23.4,39.2,34.1,31.9,31.4,20.7,42,36.2,29.9
Not at all important,23.8,35.3,20.8,36.7,14,12.9,16.8,31.1,22.1,42.8,7.4,10.6,16.8,32.9,28.6,18.2,37.8,24.4,28.9,27.8,9.5,34.8,30.6,3.4,5.8,28.2,22.7,18.3,27,11.7,23.3,10,56.3,22.1,19.4,30.4,24.7,36.5,28.9,25.1,37.5,26.2,42.7,11.6,19,24.2,26.9,31.3,8.8,31.2,51.2,32.1,32.5,20.8
NA,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,2.1,2.7,0.7,0.9,0.8,1.8,2.4,3.1,2.6,2.3,6.2,4.9,1,1.2,0,5.8,4.9,1.2,1.4,0,0.9,0.5,3.1,6.2,1,3,1.5,1.9,2.5,1.3,2.7,0,4.6,5.6,0.9,2.1,1,1.7,0.8,1.6,0.5,3.4,2.1,0.2,1.2,0.8,5.6,3.4,1,1.9,1.1,2,2.9,1
(N),75.182,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,6.025,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.542,1,1.2,1.28,240,800
