Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Stable economy,54.1,70.7,54.4,50.8,36.7,71.3,58.1,63.6,65.8,40.8,65.8,48.5,23.5,60.9,60.8,43.4,24,59.8,44.7,57.2,53.9,70.2,59.4,45.7,47.1,67.8,60.9,50.9,64.4,56.1,71.8,38.5,37.7,60.7,46.5,48.9,31,62.6,62,68.8,66.5,50.5,45.5,49.5,42.8,39.5,67.1,80.2,43.2,56.4,54.2,62.6,63.3,74
Humane and less impersonal society,16.4,2.9,20.9,26.3,22.8,3.8,14.8,8.8,15.7,30.3,10.2,18.7,18.3,14.8,6.8,26.6,11.2,15.9,31.8,17,21.8,5.4,12.3,35.6,40.3,15.8,8.3,21.9,13.2,15.3,6.5,29.3,16.5,13.2,17.4,9.8,18.2,19.2,11.9,7.2,12.6,10.3,25.4,24.4,32.4,19.7,12.6,4.6,14.5,25.5,13.6,9.6,11.7,10.1
Society where ideas count more than money,7.3,3.3,6.7,9,12,10.7,8,2.4,2.1,6.7,9.9,10.9,9.2,13.9,6.8,11.8,7.4,4.1,7.1,7,11.6,4.5,10.9,4.5,5.5,2.5,3.8,10.5,3,4.7,6.4,5.2,9.1,9.8,12.7,6.4,7.5,4.3,1.3,5.1,5.5,6.4,10.9,8.7,11.7,17.4,2.2,2.6,10.9,4.8,8.3,4.8,3.3,3.9
Fight against crime,19.1,22.5,17.3,13.2,28.1,13,18.7,22.9,15.5,21.4,10.2,19.2,20.1,9.4,23.6,16.8,56.6,19.3,15.5,18.2,12.2,19.8,6.3,10.1,7,13.7,24.5,14.4,18.7,10.7,13.8,26.7,36.6,14.1,23.2,33.6,42.7,12.3,23.7,18.2,13.1,31.6,16.1,16.5,11.9,18.2,15.4,10.9,29.9,10.6,23.5,22.3,20.8,11.5
NA,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DK,2.7,0.6,0.6,0.7,0.4,1.2,0.4,2.2,1,0.8,3.9,2.7,28.9,1.1,0,1.4,0.7,0.9,0.9,0.6,0.5,0.2,11.1,4.2,0.1,0.2,2.6,2.3,0.6,0.9,0.1,0.3,0,2.1,0.2,1.3,0.6,1.6,1.1,0.7,2.3,1.2,2,1,1.1,4.2,2.7,1.7,1.5,2.7,0.3,0.8,0.8,0.5
(N),72.153,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,2.996,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.542,1,1.2,1.28,240,800
