Category,Total,Albania,Azerbaijan,Argentina,Australia,Bangladesh,Armenia,Bulgaria,Belarus,Chile,China,Taiwan,Colombia,Croatia,Czech Rep.,Dominican Rep.,El Salvador,Estonia,Finland,Georgia,Germany,Hungary,India,Japan,South Korea,Latvia,Lithuania,Mexico,Moldova,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Puerto Rico,Romania,Russia,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,Macedonia,United States,Uruguay,Venezuela,Serbia,Montenegro,Bosnia
Very important,40.9,18.6,35.2,48.6,62.6,16.1,44.4,40.8,31.3,27.6,29.3,29,33.5,48.3,38.4,34.3,64.5,26.8,56,73.6,43.4,38.2,37.5,48.1,45.2,24.2,21.6,28.9,21.2,55.4,53,59,25.1,21.9,39,26,28.8,20.7,29.2,32,41,27,40.7,69.9,58.2,71.2,34.1,47.8,69.4,57.6,42.2,48.3,47.1,69.8
Rather important,44.1,65.8,56.6,35.1,32.9,57.5,46.4,44.8,50,36.1,54.9,58.6,51.7,43.5,50.6,50.8,26.2,59.2,40.4,23.4,49.3,37.7,40,46.5,50.6,56.9,55.3,38.7,50.6,36.9,36.7,38.1,33.7,36.3,48.8,58.3,46.8,47.2,49.6,58.6,46.1,35.4,49.2,28.2,36,26.7,52.6,40.9,26.4,29.9,39.6,45.2,46.7,27.3
Not very important,12.3,12.4,7.4,14.3,3.8,22.8,8.2,11.7,15.2,30.4,12.9,11.3,14.1,7.2,9.7,10.3,7.1,12.6,2.6,2.7,6.1,20.5,18.6,4,3,16.5,19.7,28.1,24.3,4.4,9.1,2.8,30.2,35.8,10.6,14.3,21.7,28.2,19.3,7.9,12.1,24.6,8.3,1.6,4.9,1.6,9.1,5.9,3.8,10.3,12.6,5.6,4.2,2.6
Not at all important,1.8,0.5,0.6,1.8,0.2,3.1,0.6,1.1,2.1,4.8,1,0.4,0.6,0.8,0.8,0.5,1.8,1.2,0.1,0.3,0.5,3.2,3,0.3,0.3,2.2,2.1,3.6,3.2,0.1,0.9,0.2,4.3,4.1,1.5,1,1.9,3.4,1.5,0.6,0.5,12.3,1.3,0.3,0.1,0.2,1.6,1.7,0.3,1.6,5.4,0.7,0.8,0.2
NA,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,3.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,0.8,2.7,0.1,0.2,0.4,0.4,0.4,1.7,1.5,1,1.9,0.8,0.2,0.2,0,4.1,0.5,0.2,0.8,0,0.6,0.5,0.8,1.1,0.6,0.2,1.3,0.7,0.7,0.1,0.3,0,6.8,2,0.1,0.3,0.6,0.5,0.4,0.9,0.3,0.7,0.4,0,0.7,0.2,2.6,3.6,0.2,0.7,0.2,0.2,1.2,0.1
(N),75.182,999,2.002,1.079,2.048,1.525,2,1.072,2.092,1,1.5,780,6.025,1.196,1.147,417,1.254,1.021,987,2.008,2.026,650,2.04,1.054,1.249,1.2,1.009,1.51,984,1.201,1.996,1.127,733,1.211,1.2,1.153,1.164,1.239,2.04,1.095,1.007,2.935,1.211,1.009,1.212,1.907,2.811,995,1.542,1,1.2,1.28,240,800
