Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Very important,67.4,75.2,82.2,53.6,75,63.8,55.7,86.4,38.8,68.7,66.9,93.4,68.1,44.5,56.2,77.5,65.4,49.7,53.6
Rather important,24.8,20.7,15.6,28.8,21.3,28.2,36,12.4,41.7,26,29.9,5.5,27.3,36.2,38.2,16.9,28,37.8,24.3
Not very important,4.8,2.9,1.3,13.6,3.2,5.9,6.5,0.9,13.1,3.4,2.4,0.4,1.4,12.2,4.7,2.9,2.8,7,8.3
Not at all important,1.4,0.6,0.9,1.8,0.3,2.1,1.5,0.2,2.2,1,0.4,0.1,0.9,3.9,0.4,1.4,2.2,1.5,4.3
No answer,0.3,0,0,0,0,0,0.1,0,0,1,0,0,2.2,0,0.4,1.4,0,0,0
Don´t know,1.3,0.6,0,2.3,0.2,0,0.1,0.1,4.3,0,0.4,0.6,0.1,3.2,0,0,1.6,3.9,9.5
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
