Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Very important,84,91.3,90.4,75.6,85.1,62,85.6,76.8,77.3,92.7,84.6,93.8,90.3,77.4,86.9,89.3,81.4,86.2,87.1
Rather important,13.6,7.6,8.6,19.4,13.3,32.9,11,21.5,19.8,6.2,13.6,5.3,7.9,17.3,9.9,9.2,16.5,9.5,11.9
Not very important,1.4,0.7,0.7,2.9,1.1,4.3,2.2,1.4,1.3,0.7,0.8,0.8,1.3,2.5,1.7,0.4,1.3,1.9,0.8
Not at all important,0.4,0.4,0.3,0.5,0.1,0.5,1.2,0.2,0.3,0.2,0.3,0,0.2,0.8,0.9,0.2,0.3,0.9,0.1
No answer,0.2,0,0,0,0,0.1,0,0,0,0.2,0.4,0,0.3,0,0.6,0.8,0,0,0
Don´t know,0.5,0,0.1,1.7,0.5,0.2,0,0.1,1.3,0,0.3,0.1,0,1.9,0,0,0.5,1.6,0.1
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
