Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
A stable economy,49.9,63.1,29.4,67.7,55.9,82.1,63.6,42,40.3,52.4,50.8,60.4,72.2,63.4,62.9,45.2,34.6,25.1,33.5
Progress toward a less impersonal and more humane  society,20.1,17.9,26.9,10.6,21.3,5.9,9.1,19.2,40.6,35.8,27,7.2,8.5,8.7,7.5,17.1,24.1,36,25.4
Progress toward a society in which Ideas count more than money,9.9,6.7,11.9,3.4,6.5,7.5,8.3,12.7,3.2,2.1,9.3,12.5,6.2,5.4,9.4,13.4,12.1,17.7,20.9
The fight against crime,17.4,11.5,30.6,14.8,15.4,3.6,18.8,20.6,8.3,9,8.6,19.2,12.4,19.6,20.2,23.3,23.3,17.5,14.6
No answer,0.4,0,0,3.4,0,0,0,0,0,0.4,1.4,0,0.6,0,0,1,0,0,0
Don´t know,2.4,0.9,1.2,0,1,0.9,0.1,5.4,7.7,0.4,2.9,0.7,0.1,3,0,0,5.9,3.7,5.6
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
