Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Very important,32,39.7,51.3,35.3,32.5,13.9,29.5,16.2,23.6,25,27.9,67.4,33.7,27.6,30.3,28.2,37.3,46.3,24
Rather important,40.8,35.2,38.4,36.8,33.9,29.9,46.2,39.8,56,54,46.9,23.3,47.5,41.4,41.6,42.4,48.1,38.1,30.2
Not very important,20.7,19.1,6.7,21.7,26.6,48.2,21.4,30.3,15.6,18.4,19.5,7.4,14.2,22.5,23.8,20.8,11,11.8,35.2
Not at all important,4.8,4.9,3.3,2.3,5.6,7.3,2.8,12.2,1.8,1.8,3.9,1,2.2,4.1,3.9,7,1.6,1.6,8.9
No answer,0.4,0,0,0,0,0,0,0,0,0.8,1.1,0,2.2,0,0.4,1.6,0,0,0
Don´t know,1.4,1.1,0.3,3.9,1.3,0.7,0,1.5,3,0,0.7,0.9,0.1,4.4,0,0,2,2.1,1.7
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
