Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Very important,15.5,14.9,19.1,13.6,13.8,28.7,10.3,12.7,13,30.6,11.3,19.8,12,11,7.1,24.7,5.7,10.6,11.1
Rather important,25.5,16,22.5,22.4,16.5,29.4,27.1,26.4,36.1,40,28.3,17.9,27.4,24.7,24.5,31,17,29.7,15.8
Not very important,32.2,27.6,22.3,48.5,32.1,32.3,37.8,31.4,38.1,24.9,38.2,27,35.6,40.3,44,22.9,30.5,35.3,33.3
Not at all important,23.9,40.9,34.9,12.4,35.5,8.2,24.8,28.1,3.4,3.6,19.2,31.8,18.1,19.4,23.8,16.6,44.5,22.1,37.7
No answer,0.9,0,0,0,0,0,0.1,0,0,0.9,0.8,0,6.7,0,0.6,4.8,0,0,0
Don´t know,2,0.6,1.2,3.2,2.1,1.4,0,1.4,9.5,0,2.2,3.6,0.1,4.6,0,0,2.3,2.2,2.1
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
