Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Maintaining order in the nation,38.3,35,30.3,43,38.8,66.2,46.9,41.9,30.2,42.7,26.7,42.2,25.7,56.9,38.2,37.8,31.3,30.7,19.4
Giving people more say in important government decisions,23.4,31.9,22,33.5,31,14,25.6,17,25.5,14.5,21.6,19.7,26.8,23.4,29.4,26.9,26.6,17.9,22
Fighting rising prices,26,22.6,42.6,18.5,19.7,16.7,16.7,30.2,24.2,30.7,32.7,27,39.7,14.3,27.5,28.5,21.4,15.7,33.5
Protecting freedom of speech,9.4,9.4,4.3,1.8,9.1,2.6,10.7,7.5,7.5,11,13,10.4,6.3,2.1,4.7,5.4,14,32.8,20.7
No answer,0.3,0,0,0,0,0,0,0,0,0.7,1.3,0,1.2,0,0.2,1.5,0,0,0
Don´t know,2.6,1.1,0.8,3.3,1.3,0.5,0.1,3.4,12.6,0.4,4.6,0.8,0.4,3.3,0,0,6.6,2.8,4.4
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
