Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Very happy,21.2,32.4,21,6.1,33.1,27.5,5.8,23.8,16.9,9.9,25.3,39.5,9.7,5.3,3.9,23.6,20,35.4,29.3
Quite happy,49.6,43.9,54.5,37.7,38.7,39.1,66.8,48.2,60.8,65.3,42.3,26,77.9,41.9,48.1,42.7,63.6,58,51.7
Not very happy,23.2,18.3,21.9,45.6,24.6,28.6,24.5,24,15.2,16.4,26.2,25.9,10.9,39.6,42.7,24.1,12.9,5.1,15.4
Not at all happy,3.6,3.8,2.4,6,2.6,2.1,2.8,3.6,0.8,3.3,2.1,7.9,1.1,3.5,5.2,8.8,1.5,0.4,3.1
No answer,0.2,0,0,0,0,0.6,0.1,0,0,0.5,1.4,0,0,0,0.2,0.7,0,0,0
Don´t know,2.2,1.6,0.3,4.5,0.9,2.1,0,0.4,6.2,4.6,2.7,0.8,0.4,9.7,0,0,1.9,1.1,0.4
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
