Category,Total,Argentina,Brazil,Belarus,Chile,China,Czech Rep.,India,Japan,South Korea,Mexico,Nigeria,Poland,Russia,Slovakia,South Africa,Spain,Switzerland,Turkey
Very important,35.6,51,57.2,35.8,19.1,21.4,28,29.7,33.4,51.3,24.6,52.4,22.5,28.5,25.1,22.9,44.9,51.1,55.2
Rather important,43,32.8,33.5,43,29.5,51.6,52.5,47.2,56.1,41.3,48.9,29.8,55.5,46.4,53,42.2,45.9,39.1,36.5
Not very important,18,14.5,7.3,18.2,45,25,18.2,19.6,7.9,6.3,22.3,15.1,19.7,20.4,20.4,27.1,7.8,7.8,7.5
Not at all important,2.3,1.2,1.9,1,5.7,1.3,1.3,2.8,0.7,0.2,2.9,2.1,1.1,2.1,0.9,6.3,0.9,0.8,0.5
No answer,0.3,0,0,0,0,0,0,0,0,0.8,0.8,0,1.1,0,0.6,1.4,0,0,0
Don´t know,0.7,0.5,0.2,2.1,0.7,0.7,0,0.7,1.9,0,0.4,0.6,0.1,2.5,0,0,0.5,1.1,0.3
(N),24.558,1.002,1.782,1.015,1.5,1,924,2.5,1.011,1.251,1.531,1.001,938,1.961,466,2.736,1.51,1.4,1.03
