Category,Total,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
A stable economy,56.2,22.1,44.1,53.2,54.6,65,27.6,79.8,44.1,53.3,65.8,49.1,67.4,56.7,73,73.5,57.4,49.5,69.1,62.3,55.8,43.9,37.2,59.4,67.6,54.3,65.9,75.3,40.1,32.3,64.8,54.3,41.8,56.7,46.3,62.7,51.4,52.8,43.1,57.8,49.7,57.6,63.3,66.9,60.3,60.4,45.2,67.7,63.9,41.8,53,40.9,64.1,56.5,75.8,70.8,74.4,51.4,50.5,79.4
Progress toward a less impersonal and more humane  society,15.9,15.6,12.2,14.8,19.6,5.5,15.1,7.4,27.6,14.6,15.2,19.8,13.5,15.6,10.1,10.5,17.8,30.6,8.4,2.9,20.3,14.2,26.8,25.5,6.8,13.7,23.7,9.3,26.1,17,17.3,13.2,18.2,23.2,13.2,16.7,30.3,11.6,21.3,10.1,19.7,14.7,9.7,20.8,19.7,12.3,19.7,16.7,13.6,27.2,18.4,9.9,9.9,23.2,7.1,8.5,9.7,19.8,16.2,8.1
Progress toward a society in which Ideas count more than money,8.6,14.6,20.5,6.8,9.8,10.5,7.3,6,13,5.9,6.8,11.4,9.5,9.1,7.1,3.4,9.5,11,4.5,1.3,7.1,14.7,6.7,3.6,7.8,7.2,4.3,6.7,16.8,12.5,8.9,7.8,5.4,5.6,5.1,9,9.4,9.4,13.4,10,16.4,8.8,10,5.8,12.3,7,9.1,8.3,10.3,12.1,10.8,5.8,4.4,9.1,6.3,2.7,6.1,6.8,8.4,4.2
The fight against crime,17.6,43.7,23.2,24,14.9,16.9,48.9,6.5,14.3,16.1,8.7,19.6,9.6,18.7,9.1,12.3,14.5,8.4,18,32.6,12.7,26.5,29.3,7.8,17.8,24.4,6,8.7,16.4,35.5,8.9,24.2,23.5,11.4,8.1,11.5,8.7,25.4,22.2,19.9,14.2,17.4,16.3,6.5,7.6,17.1,26,7.4,11.1,18.2,15.3,43.2,20.4,8.6,10.7,18,8.2,19.7,19.7,8.3
"HT: Dropped out survey, RU: Inappropriate response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,0.8,4.1,0,0.4,1.2,0.3,0.1,0,0.4,2.8,0.1,0.1,0,0,0,0,0,0,0,0,4.1,0.7,0,0,0,0,0.1,0.1,0,0.8,0,0.1,5.4,0.3,26.9,0,0.1,0.2,0,0.1,0,0.3,0.1,0,0,1.9,0,0,0.1,0.3,2.4,0.1,0,0.6,0,0,1.7,0.4,5.2,0
Don´t know,0.8,0,0,0.8,0,1.8,0.9,0.3,0.6,7.3,3.5,0.1,0,0,0.7,0.3,0.8,0.5,0,0.5,0,0,0,3.7,0,0.3,0,0,0.7,1.9,0,0.4,5.7,2.9,0.5,0,0.2,0.6,0,2,0,1.3,0.6,0,0,1.2,0,0,1,0.3,0,0,1.2,2,0,0,0,1.9,0,0
