Category,Total,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Very important,46.5,49.2,40.7,53.9,55.6,42.9,33,42.7,35.1,46.6,44,30.7,60.6,32.6,50.9,74,43.8,50.9,45.7,35.9,41.5,44.9,47.8,45,48.4,50.7,49.3,54.3,30.5,51.9,61.3,44.8,38.6,35.8,49.6,57,62.2,42.6,23.5,30.8,38.3,72.9,22.4,34.6,72.1,52.5,44.2,44.7,37.8,52.4,67.8,32.3,33.9,48.2,58,44,54.9,53.5,51.4,52.3,49.5
Rather important,40.9,30.8,37.7,33.6,37.5,45,50,41.6,43.6,44.4,46.3,40.7,32.1,41.3,39,23.4,41,42.6,33.7,55.4,54.2,40.4,39.4,47,38.3,40.2,46,37.3,61.5,31.8,33,47.2,39.4,42.5,45.1,35.2,32.3,40.5,32.4,58.9,55.2,25.6,52.2,45.8,25,41.4,47.9,37.1,46.5,42.8,29.5,49.8,41.6,34.2,38.9,41.6,33.6,39.8,31,38.5,40.7
Not very important,10.1,12.2,18.8,10.5,3.5,9,15.1,13.2,18,6.7,8,25.2,6.4,22.6,9,2.2,12.1,6.1,16,6.2,4,9.5,10.8,5.4,12.1,7,3.8,5.9,7.3,12.3,3,7.5,17.4,16.7,4.3,4.9,5.1,14.3,40.4,8.6,5,1.4,22.1,15.2,2.5,5.5,7.5,13.4,14.3,3.5,2.2,15.3,22.2,9.8,2.3,12.3,9,5.1,13.6,8,7.4
Not at all important,1.9,6.8,2.8,1.7,0.4,2.7,1.7,1.6,2.2,0.4,0.6,3.3,0.7,3.4,0.9,0.3,2.9,0.3,4.5,1.7,0.3,3.5,1.8,0.4,1.3,2,0.2,1.1,0.8,2.6,0.7,0.5,4.6,4.7,0.3,0.1,0.4,2.3,2.6,1.6,1.2,0.2,3.1,3.5,0.5,0.6,0.4,4.4,1.4,0.1,0.3,2.4,1.7,7.6,0.4,2,2.5,0.8,3.7,1.1,1.2
RU:Inappropriate response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
No answer,0.2,0.6,0,0.2,3,0,0.1,0,0.3,0.8,0.1,0.1,0.2,0,0.1,0,0,0,0,0.7,0,0,0,0,0,0,0.7,1.3,0,1.2,0.4,0,0,0.2,0,2.7,0,0.2,0.6,0,0,0,0.1,0.2,0,0,0.1,0,0,1.1,0.2,0,0,0.1,0,0,0,0.8,0.1,0.1,0
Don't know,0.4,0.3,0,0,0,0.4,0.1,0.9,0.8,1.1,1.1,0,0,0,0.2,0,0.2,0,0,0.3,0,1.6,0.2,2.2,0,0,0,0.2,0,0.1,1.6,0,0,0.2,0.7,0.1,0,0,0.5,0.1,0.2,0,0,0.5,0,0,0,0.3,0,0.1,0,0.2,0.5,0.1,0.4,0,0,0,0.2,0,1.2
