Category,Total,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Very happy,32.5,17.6,27.2,33.3,34.9,31.2,35.2,10.6,24.4,15.7,26,56.5,25.9,57.7,12.7,21.5,10.3,23.1,51,31.7,23.4,37.4,10.5,32.3,31.2,20.8,15.2,41.3,36.2,17.9,38.5,56.5,67.5,21,31.9,33.7,55.6,45.6,35.1,49.6,22.2,56.4,13.6,14.8,40.6,39.1,19.5,39.3,39.4,15.5,40.5,39.7,54.2,16.7,37.5,16.1,5.3,36.1,34.2,64.5,17.9
Quite happy,51.1,57.9,53.4,53.1,57.7,50.8,56.8,53.1,60.1,68.8,63.9,35,55.8,35.3,64,48.1,64.1,60.9,29.8,51.8,65.7,50,57.5,54.2,57.3,65,74.8,50.3,59.7,60.4,49,39.5,26.8,57.3,60.5,58.7,29.1,39.1,40.9,39.8,70.4,41.6,55.4,58.5,49.8,53.9,63.8,37.1,39.5,70.9,54.1,53.3,33.8,62.6,46.3,52,20.7,53.5,51.8,31.5,54.2
Not very happy,12.7,15.2,16.8,11.6,6.2,12,7.2,27.3,14.4,13.3,7.8,7.9,14.4,6.2,19.9,25.3,19.7,13.4,15.9,9.9,9.3,10.8,26.3,9.4,11.1,9.8,9.2,6.4,3.7,19,8.7,3.9,5.3,15.8,6,4.3,11.6,10.9,22.4,9.6,5.3,1.7,26.4,20.7,8.5,6.5,14.2,17.7,18.7,12.2,4.9,5.3,11.1,15.8,11.9,22.6,30.1,8.8,11.4,3.3,24.4
Not at all happy,2.9,3.8,2.6,1,0.5,5.1,0.8,3.5,0.8,1.1,1.3,0.5,3.5,0.7,1.9,5.1,5.5,1.5,3.3,5.7,1.4,1.4,4.8,1,0.4,4.5,0.7,0.9,0.3,2.2,2.9,0,0.4,5.6,0.6,0.7,3.7,4.2,0.9,1.1,0.5,0.3,4,1.8,1,0.5,1.8,5.6,2.5,1.1,0.4,1.6,0.9,4.7,3.8,4.2,44,1.2,2.1,0.2,3.5
"HT: Missing-Dropped out survey, RU: Inappropriate response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,0.3,5.5,0,0.5,0.7,0.1,0.1,1.1,0.2,0.5,0.2,0.1,0.2,0,0.1,0,0,0.2,0,0.1,0.2,0,0,0,0,0,0.1,0.4,0.1,0.5,0.2,0,0,0.2,0,1.8,0,0.2,0,0,0.5,0,0.3,0.3,0,0,0.5,0,0,0,0.2,0,0,0,0.3,0.7,0,0.5,0.4,0.5,0
Don´t know,0.6,0,0,0.5,0,0.8,0,4.4,0.1,0.7,0.8,0,0.2,0,1.4,0.1,0.4,1,0,0.9,0,0.3,0.9,3.2,0,0,0,0.6,0,0,0.7,0,0,0.1,0.9,0.8,0,0,0.7,0,1,0,0.3,3.8,0,0,0.3,0.3,0,0.3,0,0,0,0.2,0.2,4.3,0,0,0.1,0,0
