Category,Total,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Very important,91.6,93.1,93.9,88.9,92.5,96.9,87.4,88.3,91.7,85.7,90.9,85.1,92.5,98.6,88,98.4,95.7,77.6,95.9,71.4,85.1,94.9,92.9,90.8,92.4,95.8,91.3,93.2,96.5,75.1,96.9,97.7,97.6,90.7,85.5,92.9,98.4,94,85.3,98.8,92.1,99,93.1,85,91.7,93.3,88.7,92.5,97.3,91.1,89.2,88.6,94.6,97.6,95.4,92,97.4,90.9,88.7,97.5,95.8
Rather important,6.9,4.2,5.2,10.2,6.1,2.2,11.3,9.7,7.1,12.8,7.9,14.4,6.9,1,9.8,1.5,3.6,17.9,2.7,25.8,12.5,4.3,6.4,6.8,7,4,7.6,4.8,3.1,11.9,2.4,1.9,1.7,8.5,8.8,4.9,1.3,5.6,14.1,1.1,6.4,0.8,5.5,12.7,7.2,5.8,10.1,6,2.2,8.4,9,9.4,3.7,1.8,4.3,6.6,2.2,7.3,9.9,2.1,2.9
Not very important,0.8,1.2,0.7,0.4,0.6,0.3,1,1.3,1,0.5,0.6,0.3,0.3,0.1,1.7,0.1,0.6,3.6,0.9,1.8,1.9,0.3,0.5,0.6,0.4,0.2,0.5,0.8,0.3,3,0.4,0.3,0.8,0.3,2.3,0.7,0.2,0.3,0.7,0.1,0.3,0.1,1.1,1.3,0.7,0.6,0.6,1.1,0.2,0.2,1.3,1.3,1.2,0.2,0.1,1.3,0.5,0.8,0.6,0.3,0.6
Not at all important,0.3,1.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.3,0.4,0,0,0.6,0.6,0.3,0.3,0,0.2,0.2,0.2,0,0.3,0.4,0.1,5.4,0.2,0.1,0,0.3,1.3,0,0,0,0,0,0.3,0.1,0.2,0.5,0.3,0.3,0.2,0.2,0.4,0.2,0.2,0.4,0.3,0.1,0.1,0.1,0,0.6,0.7,0,0.1
"BH,HT: Missing, AR,DE,SE: Inapplicable,RU: Inappropriate response",0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0
No answer,0.1,0.1,0,0.2,0.5,0.1,0.1,0,0,0.7,0,0,0.2,0,0.1,0,0.1,0,0,0.3,0.2,0,0,0,0,0,0.2,0.8,0,0.5,0.1,0,0,0.2,0,1.5,0,0.1,0,0,0.2,0,0.1,0.2,0,0,0.2,0,0,0.1,0,0,0,0.2,0,0,0,0.4,0,0,0
Don´t know,0.2,0.3,0,0,0,0.2,0,0.4,0,0.3,0.5,0,0,0,0,0,0,0.1,0,0.3,0,0.4,0,1.6,0,0,0,0.2,0,4.1,0,0,0,0,2.2,0,0,0,0,0,0.6,0,0.1,0.1,0,0,0.3,0.2,0,0,0,0.2,0.2,0.2,0.1,0,0,0,0.1,0,0.6
