Category,Total,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Very important,62.6,76,67.3,57.4,30.2,70.9,63.6,45.2,56.3,38.1,60.2,76.3,66.4,88.5,53,73.1,64.6,39.4,94.8,66.7,31.5,77.3,66,52.1,61.9,68.1,60.8,75.8,63.7,62.4,78.9,82.8,87,82.5,29.5,35,76.8,72.8,69.1,90.5,64.2,84.5,55.9,45,70.5,43.4,41.3,57.5,85.4,62.4,50.3,66.6,76.5,87,49.6,52.6,61,35.6,63.7,71.1,69.9
Rather important,24.9,10.9,16,29.8,51.4,22.3,34.2,32.4,32.5,41.5,29.9,22.1,25.6,7.3,29.3,15.6,19.7,40.5,3.9,25.5,48.5,16.8,24.8,32.1,23.1,18.7,29.8,16.4,29.6,20.3,10,13.1,8.5,12.7,49.1,46.1,16.3,17.3,25.6,7.5,25,9.9,34.3,29.3,18,39.6,46.9,22.6,11.8,22.3,34.6,25.4,10.6,7.2,31.7,26.2,21.3,44.3,26,13.6,15.1
Not very important,7,4.8,11.7,7,8.6,3.4,1.3,12.4,5.8,13.3,6.2,0.9,5,2.8,8.8,6.4,8.9,9.9,1.1,5.8,15.1,2.5,6.8,8.4,10.7,5.3,4.8,2.9,5,9.5,5.6,3.3,2.8,2.6,12.4,8.1,3.9,4.9,3.2,1.4,4,4.2,6.4,9.4,10,13.1,8.8,9.4,1.7,7.8,7.5,5.4,5.5,3.1,11.9,12,9.7,12.9,4.8,8.7,8.1
Not at all important,3.8,5.7,5,4.4,5.9,2,0.6,9.1,2.9,2.7,2.5,0.7,2.4,1.3,7.8,4.7,3.9,7,0.2,1.5,4.7,1.7,2.3,1.9,4.3,6.3,3.4,2,1.7,4.9,3.2,0.8,1.7,1.5,5.2,5,2.9,3.2,0.6,0.4,3.8,1.4,2.8,9.7,1.4,3.8,1.8,6.1,1,6.3,2.5,1.9,6.7,2.2,5.7,9.2,8,6.6,4.5,5.9,5.8
"BH,HT: Missing, AR,DE,PS,SE: Inapplicable,RU: Inappropriate response",0.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.5,3.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,4.7,0.5,0,0,0,0,0,0,0,0,0
Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
No answer,0.4,0.8,0,0.9,3.9,0.1,0,0,1.4,1.5,0.1,0.1,0.5,0,0.5,0,0,0.1,0,0.1,0.2,0,0,0,0,0,1.2,2.5,0,0.8,0.4,0,0,0.7,0,5.2,0,0.9,1.3,0,1.1,0,0.2,0.5,0,0,0.8,0,0,0.8,0.1,0.1,0,0.2,0.2,0,0,0.6,0.3,0.7,0
Don´t know,0.9,1.8,0,0.4,0,0.7,0.2,0.9,1.1,2.9,1.1,0.1,0,0,0.6,0.1,1.4,0.1,0,0.5,0,1.7,0.2,5.4,0,1.6,0,0.3,0,2.1,2,0,0,0.1,3.8,0.6,0,0.8,0.3,0.1,1.8,0,0.3,1.2,0,0,0.4,4.4,0,0.4,0.3,0.1,0.7,0.4,0.9,0,0,0,0.7,0,1.1
