Category,Total,Albania,Algeria,Argentina,Bangladesh,Bosnia Herzegovina,Canada,Chile,China,India,Indonesia,Iran,Iraq,Japan,Jordan,South Korea,Kyrgyzstan,Mexico,Moldova,Morocco,Nigeria,Pakistan,Peru,Philippines,Puerto Rico,Saudi Arabia,Singapore,Viet Nam,South Africa,Zimbabwe,Spain,Sweden,Turkey,Uganda,Macedonia,Egypt,Tanzania,United States,Venezuela,Serbia,Montenegro
Very important,44.7,32,35.6,49.7,31.9,70.6,60.2,29.1,19.9,39.2,56,29,59.6,46.6,47.4,44.8,47.5,37.8,34.9,37.2,63.6,19.4,24.6,36.8,32.2,53.1,39.5,21.6,34.3,34.9,46.9,70.7,72.6,75,49.2,37.3,28.7,64.2,52.5,57.5,42.8
Rather important,40,51.2,51.3,30.4,48.2,27.2,35.4,41.5,61.9,38.3,40.5,49.7,31.9,45,43.7,50.7,42.4,38.3,46.9,33.1,26.6,44.2,32.6,51.4,49.6,38.4,53.3,59.5,35.5,40.4,45.2,26.9,23.3,20.1,44.1,46.3,47.9,31.5,37.4,37.8,55
Not very important,12.3,14.5,9.7,15.9,18.1,2,3.8,20.2,14.3,15.3,3.5,16.5,6.2,5.2,7.3,4.1,9.3,17.1,15,18,8.7,33.8,39.7,10.2,16.1,7.1,7.1,17.5,24.4,20.3,6.4,2.2,2.4,4.1,4.6,13.2,11.7,3.8,8.6,4.3,1.9
Not at all important,2.2,1.6,2.6,2.8,1.2,0.2,0.4,8.5,1.7,5.6,0,2.3,1.2,0.1,1.5,0.3,0.6,5.7,1.8,11.6,1,2.4,2.9,1.4,1,1.2,0.1,0.7,5.8,4.2,0.9,0.2,0.8,0.7,1.1,3.2,1.6,0.3,1.5,0.2,0
No answer,0.4,0,0,0,0,0,0.1,0,2,0,0,1.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.9,0,0,0,9.9,0,0,0,0
Don´t know,0.4,0.7,0.9,1.2,0.6,0.1,0,0.7,0.2,1.6,0,1.1,0.5,3,0,0.2,0.3,1.1,1.5,0.1,0,0,0.3,0.2,0.8,0.2,0,0.7,0.1,0.2,0.6,0,0,0,1,0.1,0.2,0.1,0,0.2,0.3
(N),57.868,1,1.282,1.28,1.5,1.2,1.931,1.2,1,2.002,1,2.532,2.325,1.362,1.223,1.2,1.043,1.535,1.008,1.251,2.022,2,1.501,1.2,720,1.502,1.512,1,3,1.002,1.209,1.014,3.401,1.002,1.055,3,1.171,1.2,1.2,1.2,82
