Category,Total,Albania,Algeria,Argentina,Bangladesh,Bosnia Herzegovina,Canada,Chile,China,India,Indonesia,Iran,Iraq,Japan,Jordan,South Korea,Kyrgyzstan,Mexico,Moldova,Morocco,Nigeria,Pakistan,Peru,Philippines,Puerto Rico,Saudi Arabia,Singapore,Viet Nam,South Africa,Zimbabwe,Spain,Sweden,Turkey,Uganda,Macedonia,Egypt,Tanzania,United States,Venezuela,Serbia,Montenegro
Very important,71.8,81.5,92.4,73.4,91.3,74.6,52.1,74.8,49,76.5,88.8,77.3,85.2,46.6,64.7,62.3,54.8,86.1,40.1,89,88.2,60.3,68.2,93.4,73.9,61.5,52.3,56.5,79.3,90,55.5,54.1,69.8,78.3,75.7,71.5,88.4,53.6,92.5,53.8,57
Rather important,20.5,12.5,5.9,22.2,7.6,14.2,36.5,19.5,42.5,17.5,10,15.9,10.6,37.6,19.5,30.5,33.8,10.1,34.7,7.4,8.2,32.6,29.2,5.6,20.3,24.4,38.8,36.9,13.3,8.9,33.9,36.5,18.3,16.8,17.9,18.7,2.6,35.8,5,35.3,30.5
Not very important,4.5,3.4,0.9,2.6,0.5,3.8,7.1,2.9,6,2.9,0.8,3.6,2,9,8.6,5.1,9.6,1.9,12.9,2.2,1.9,4.8,1.9,0.7,3.3,9.3,6.5,5.6,5.1,0.9,6.3,5.6,5.7,3.6,4.9,7.7,0.9,7,1.6,6.6,5.8
Not at all important,2,1.5,0.4,1.2,0.1,7.1,3.8,1.4,1.1,1.5,0,1.5,1.2,1.8,6.7,2.1,1.3,1,5.3,0.4,1.3,1.6,0,0.3,1.7,2.7,1.8,0.4,1.5,0,3.7,3.3,5.5,0.9,0.7,1.5,0.4,3.3,0.8,2.6,4.1
No answer,0.3,0,0,0,0,0,0,0,1.4,0,0.1,1.2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.8,0,0,0,7.6,0,0,0,0
Don´t know,0.8,1.1,0.5,0.7,0.5,0.4,0.4,1.4,0,1.5,0.3,0.6,0.6,4.9,0.1,0.1,0.4,0.9,6.9,0.9,0.4,0.6,0.7,0,0.6,2.1,0.6,0.6,0.8,0.2,0.7,0.6,0,0.4,0.9,0.6,0.2,0.3,0.2,1.7,2.6
(N),57.868,1,1.282,1.28,1.5,1.2,1.931,1.2,1,2.002,1,2.532,2.325,1.362,1.223,1.2,1.043,1.535,1.008,1.251,2.022,2,1.501,1.2,720,1.502,1.512,1,3,1.002,1.209,1.014,3.401,1.002,1.055,3,1.171,1.2,1.2,1.2,82
