Category,Total,Albania,Algeria,Argentina,Bangladesh,Bosnia Herzegovina,Canada,Chile,China,India,Indonesia,Iran,Iraq,Japan,Jordan,South Korea,Kyrgyzstan,Mexico,Moldova,Morocco,Nigeria,Pakistan,Peru,Philippines,Puerto Rico,Saudi Arabia,Singapore,Viet Nam,South Africa,Zimbabwe,Spain,Sweden,Turkey,Uganda,Macedonia,Egypt,Tanzania,United States,Venezuela,Serbia,Montenegro
Very important,62.8,27.5,90.6,46.3,87.5,34,30.1,46.3,2.5,55.8,98.1,78.9,93.5,6.4,95.9,23.2,31.6,67.7,33.9,95.6,92.8,81.8,52.5,86.8,75.4,88.7,35.9,9.7,69.7,77.6,21.9,10.6,80.3,73.5,47,97.3,77.8,56.9,63.8,28.7,18.9
Rather important,18.5,31.2,7.5,26.3,10.7,36.1,30.4,33.4,6.3,23.4,1.8,14.9,5.2,13.1,3.4,28.9,37.5,19.8,39.5,3.6,6.1,13.1,31.4,10.6,18.1,8.7,35,22.8,21.8,14.3,27.3,24.2,13.1,21.3,30.2,2.5,9.5,25.4,23,39.1,45
Not very important,11.3,25.2,0.9,18.2,1.1,18.3,26.6,14.2,25.3,11.6,0.1,3.3,0.6,31.6,0.3,31.3,24.2,8.9,17.7,0.6,0.7,4.6,13.9,2.3,5,1.7,22.3,47.1,5.3,5.6,30.9,42.3,3.7,3.9,15.2,0.1,3.2,12.4,7.9,24.4,30.5
Not at all important,6.3,14.2,0,8.6,0.3,10.5,12.6,5.4,59.9,7.1,0,1.2,0.2,36.4,0.4,16.4,6,3.1,5.2,0.2,0.2,0.5,2.1,0.3,1.2,0.5,6.7,17.2,3.1,2.4,19.3,22.2,2.7,1.2,6.2,0,0.9,4.9,5,6.2,3.6
No answer,0.3,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,8.4,0,0,0,0
Don´t know,0.9,1.9,0.9,0.6,0.4,1.1,0.2,0.8,6,2,0,0.4,0.2,12.4,0,0.1,0.7,0.5,3.8,0,0.1,0,0.1,0,0.1,0.3,0,3.2,0.1,0.1,0.5,0.7,0,0.1,1.3,0,0.3,0.3,0.2,1.5,2.1
(N),57.868,1,1.282,1.28,1.5,1.2,1.931,1.2,1,2.002,1,2.532,2.325,1.362,1.223,1.2,1.043,1.535,1.008,1.251,2.022,2,1.501,1.2,720,1.502,1.512,1,3,1.002,1.209,1.014,3.401,1.002,1.055,3,1.171,1.2,1.2,1.2,82
