Category,Total,Albania,Algeria,Argentina,Bangladesh,Bosnia Herzegovina,Canada,Chile,China,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,South Korea,Kyrgyzstan,Mexico,Moldova,Morocco,Nigeria,Pakistan,Peru,Philippines,Puerto Rico,Saudi Arabia,Singapore,Viet Nam,South Africa,Zimbabwe,Spain,Sweden,Turkey,Uganda,Macedonia,Egypt,Tanzania,United States,Venezuela,Serbia,Montenegro
Very happy,29.4,9.7,16.1,33,14.8,21.7,44,36,11.5,25.3,20.5,23,13.2,27.2,27.8,12.8,9.6,19.8,56.5,6,22.3,66.8,19.6,30.8,38.4,53.3,44.3,28.7,48.6,38.5,19.9,20.1,36.6,34.5,26.2,19.1,18.1,56.2,39,56.8,12,8.1
Quite happy,50.9,49.1,64.6,48.4,62.6,60.2,51.6,43.9,66.3,47.6,74,34.6,49,50.2,58.7,70.1,78.1,64.1,34.5,43.4,57.6,25,56,35.3,49.2,40.7,47,66.1,42.8,38.8,35.3,66.9,56.8,42.5,52.6,55.5,71.3,36.9,54,29.5,61.5,57.2
Not very happy,15.6,30.6,11.9,15.5,20.4,15,4,18.9,19,20.9,4.7,28.6,26.2,16.9,9.9,12.4,10.7,14.9,7.2,43.6,15.4,7.3,20.5,32.1,11.7,5.1,7.7,4.6,6.9,18.4,35.2,11,4.8,14,19.2,20.3,8.8,4.2,5.8,12.9,20.8,26.8
Not at all happy,3.2,9.9,3.8,2.4,2.1,2.3,0.4,0.6,2.8,4.5,0.3,5.8,10.4,4.3,0.6,4.3,1.7,0.5,1,4.1,4.5,0.9,2.6,1.6,0.6,0.6,0.7,0.4,0.6,4.2,9.3,1.4,1.5,8.9,2,4.8,1.6,1.2,0.5,0.8,3.8,2.1
No answer,0.1,0,0,0,0,0,0,0,0.4,0,0.1,1.1,0.3,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0
Don´t know,0.9,0.7,3.5,0.7,0.1,0.8,0,0.6,0,1.7,0.4,6.8,0.9,1.3,3,0.3,0,0.8,0.8,2.9,0.1,0,1.3,0.2,0.1,0.3,0.2,0.2,1.1,0.1,0.2,0.6,0.3,0.1,0.1,0.3,0.2,0.6,0.7,0,1.9,5.8
(N),59.067,1,1.282,1.28,1.5,1.2,1.931,1.2,1,2.002,1,2.532,2.325,1.199,1.362,1.223,1.2,1.043,1.535,1.008,1.251,2.022,2,1.501,1.2,720,1.502,1.512,1,3,1.002,1.209,1.014,3.401,1.002,1.055,3,1.171,1.2,1.2,1.2,82
