Category,Total,Albania,Algeria,Argentina,Bangladesh,Bosnia Herzegovina,Canada,Chile,China,India,Indonesia,Iran,Iraq,Japan,Jordan,South Korea,Kyrgyzstan,Mexico,Moldova,Morocco,Nigeria,Pakistan,Peru,Philippines,Puerto Rico,Saudi Arabia,Singapore,Viet Nam,South Africa,Zimbabwe,Spain,Sweden,Turkey,Uganda,Macedonia,Egypt,Tanzania,United States,Venezuela,Serbia,Montenegro
Very important,16.2,8.1,15,8.9,19.7,10.9,9,9.1,15.1,17.9,9.5,16.7,25.4,20.3,15.9,15,15.2,17.9,8.1,10.9,27.7,5.2,20.6,21.9,15.1,25.6,10,37.5,20.4,14.1,7.3,11.4,16.3,23.2,13.9,12.6,32.9,15.7,15.6,4.6,5.9
Rather important,27.3,22.7,34.4,14.9,29.3,24.5,31.6,21,47.7,19.7,26.6,24.2,27.4,42.4,30.4,36.3,31.5,27.4,27,14.2,23.6,8.4,23.1,33.1,24.3,28.4,36.5,38,29.1,26.1,16.7,43.4,22.5,31.8,22,36.1,28.2,41,18.8,19.8,21.8
Not very important,30.5,32.5,26.4,29.6,35.6,35.6,41.9,25.6,26.6,26.7,46.6,31,24,25.1,24.5,38.8,38,26.3,43.7,19.1,27.3,39.6,36.6,30,37.6,24.8,40.6,20.2,27.8,28,39.6,37.1,25.2,27.6,35.6,22.5,16.1,35.1,25.7,44.9,48.1
Not at all important,23.2,34.6,19.3,46.1,12.1,28.5,17.2,42,3.5,29,9.1,20.5,19.2,4,27.8,9.8,14.8,26.8,18.5,52.4,20.4,43.3,19,14.9,21.9,17.1,12.3,1.3,21.3,28.2,35.3,7.8,35.1,16.7,27.3,26.2,8.9,7.9,39.7,29.2,23
No answer,0.6,0,0,0,0,0,0,0,7,0,0,3,1.1,0,0.1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.9,0,0,0,11.4,0,0,0,0
Don´t know,2.2,2.1,4.9,0.5,3.4,0.5,0.3,2.3,0.1,6.7,8.2,4.5,2.9,8.3,1.3,0.1,0.5,1.6,2.7,3.4,0.9,3.4,0.7,0.2,0.6,4.2,0.6,3,1.5,3.6,1,0.2,0,0.7,1.3,2.6,2.6,0.3,0.3,1.6,1.1
(N),57.868,1,1.282,1.28,1.5,1.2,1.931,1.2,1,2.002,1,2.532,2.325,1.362,1.223,1.2,1.043,1.535,1.008,1.251,2.022,2,1.501,1.2,720,1.502,1.512,1,3,1.002,1.209,1.014,3.401,1.002,1.055,3,1.171,1.2,1.2,1.2,82
