Category,Total,Albania,Algeria,Argentina,Bangladesh,Bosnia Herzegovina,Canada,Chile,China,India,Indonesia,Iran,Iraq,Japan,Jordan,South Korea,Kyrgyzstan,Mexico,Moldova,Morocco,Nigeria,Pakistan,Peru,Philippines,Puerto Rico,Saudi Arabia,Singapore,Viet Nam,South Africa,Zimbabwe,Spain,Sweden,Turkey,Uganda,Macedonia,Egypt,Tanzania,United States,Venezuela,Serbia,Montenegro
Very important,93.3,95.9,94.4,90.2,96.7,98.7,93.9,96.4,60.2,91.9,99,94.1,97.3,91.3,96.6,89.6,87.2,96.6,85,93.4,98.9,92.6,82.4,98.6,95.7,94.7,91.8,82.2,95.2,97.3,85.4,89.4,97.3,91,97.9,96.4,89.6,95.3,97.8,92,92.3
Rather important,5.7,3.1,4.7,8.4,3.3,1.2,5.3,2.8,36.2,6,1,4.5,2.2,6.4,3.1,10,12.1,2.2,12.1,5.4,0.9,6.4,16.7,1.3,3.8,4.8,7.7,17,3,2.6,13.4,8.5,2.1,6.9,1.5,3.3,5.6,3.8,2.1,7.1,7.5
Not very important,0.7,0.8,0.5,1,0,0,0.4,0.5,2.7,1.2,0,0.8,0.1,0.7,0.1,0.4,0.7,0.8,1.7,0.7,0.1,1,0.7,0.1,0.4,0.3,0.5,0.5,1.7,0.1,0.9,1.8,0.3,2,0.4,0.2,1.3,0.4,0.2,0.8,0.1
Not at all important,0.1,0,0.1,0.3,0,0,0.4,0.3,0.1,0.1,0,0.2,0,0.1,0.2,0,0,0.2,0.3,0.3,0,0.2,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0,0.1,0.1
No answer,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,3.2,0,0,0,0
Don´t know,0.1,0.2,0.4,0.1,0,0.1,0,0,0.8,0.7,0,0,0.1,1.5,0.1,0,0.1,0.1,0.9,0.2,0,0,0.1,0,0.1,0.1,0,0.2,0,0,0.2,0.1,0,0,0.2,0,0.2,0.1,0,0.1,0.1
(N),57.868,1,1.282,1.28,1.5,1.2,1.931,1.2,1,2.002,1,2.532,2.325,1.362,1.223,1.2,1.043,1.535,1.008,1.251,2.022,2,1.501,1.2,720,1.502,1.512,1,3,1.002,1.209,1.014,3.401,1.002,1.055,3,1.171,1.2,1.2,1.2,82
